External Id,Internal Id,Agreement,Created From,Created From Line Key,Price Level,Customer,Item Internal Id,Item, Quantity,Rate,Amount,Billing Frequency,Start Date,End Date,Next Renewal Date,Next Billing Date,Status,Agreement Type,Usage Group,Price Type,Required Minimum
10001020,,505,,,,Aedn,387,Professional Package Annual Subscription,1,19995,19995,Annually,07/15/2021,07/14/2031,,,Active,Subscription,,,
10001021,,506,,,,Akumin Inc.,162,Enterprise Integration Package,1,1000,1000,Annually,12/18/2020,12/17/2023,,,Active,Subscription,,,
10001022,,506,,,,Akumin Inc.,169,e-Signature,1,0,0,Annually,12/18/2020,12/17/2023,,,Active,Subscription,,,
10001023,,506,,,,Akumin Inc.,367,Entity Management Platform Subscription,46,100,4600,Annually,12/18/2020,12/17/2023,,,Active,Subscription,,,
10001024,,506,,,,Akumin Inc.,367,Entity Management Platform Subscription,1,100,100,Annually,12/18/2021,12/17/2023,,,Active,Subscription,,,
10001025,,506,,,,Akumin Inc.,383,Recurring Discount: Subscription Package,1,0,-1000,Annually,12/18/2020,12/17/2023,,,Active,Subscription,,,
10001026,,506,,,,Akumin Inc.,166,Software Updates,1,0,0,Annually,12/18/2020,12/17/2023,,,Active,Subscription,,,
10001027,,506,,,,Akumin Inc.,167,Virtual Minute Book,1,0,0,Annually,12/18/2020,12/17/2023,,,Active,Subscription,,,
10001028,,507,,,,"Allison Transmission, Inc.",382,Per Entity Fee – Athennian Application - Up to 100,30,75,2250,Annually,02/27/2022,02/26/2025,,,Active,Subscription,,,
10001029,,507,,,,"Allison Transmission, Inc.",387,Professional Package Annual Subscription,1,19995,19995,Annually,02/27/2022,02/26/2025,,,Active,Subscription,,,
10001030,,507,,,,"Allison Transmission, Inc.",492,One Time Discount: Entity Fee,30,0,-2250,Annually,02/27/2022,02/26/2023,,,Active,Subscription,,,
10001031,,507,,,,"Allison Transmission, Inc.",385,One Time Discount - Package,1,0,-4995,Annually,02/27/2022,02/26/2023,,,Active,Subscription,,,
10001032,,508,,,,Andy Transport Inc.,388,Basic Package Annual Subscription,1,10000,10000,Annually,03/31/2022,03/30/2025,,,Active,Subscription,,,
10001033,,508,,,,Andy Transport Inc.,382,Per Entity Fee – Athennian Application - Up to 100,20,93,1860,Annually,03/31/2022,03/30/2025,,,Active,Subscription,,,
10001034,,508,,,,Andy Transport Inc.,521,Recurring Discount: Entity Fee,20,0,-1860,Annually,03/31/2022,03/30/2025,,,Active,Subscription,,,
10001035,,509,,,,Angela Alaimo Professional Corporation,388,Basic Package Annual Subscription,1,5497.5,5497.5,Semi-Annually,04/28/2022,04/27/2025,,,Active,Subscription,,,
10001036,,509,,,,Angela Alaimo Professional Corporation,381,Per Entity Fee – Athennian Application - Up to 250,101,30,3030,Semi-Annually,04/28/2022,04/27/2025,,,Active,Subscription,,,
10001037,,510,,,,ApplyBoard,524,Entity Fee,10,75,750,Annually,05/28/2021,05/27/2024,,,Active,Subscription,,,
10001038,,510,,,,ApplyBoard,525,Professional Package Platform Fee,1,15000,15000,Annually,05/28/2021,05/27/2024,,,Active,Subscription,,,
10001039,,510,,,,ApplyBoard,521,Recurring Discount: Entity Fee,10,0,-750,Annually,05/28/2021,05/27/2024,,,Active,Subscription,,,
10001040,,511,,,,ArentFox Schiff,526,Entity Management Platform Subscription - 1100 entities (Boston office),1,4800,4800,Annually,09/15/2020,09/14/2023,,,Active,Subscription,,,
10001041,,511,,,,ArentFox Schiff,386,Enterprise Package Annual Subscription,1,3500,3500,Annually,09/15/2020,09/14/2023,,,Active,Subscription,,,
10001042,,511,,,,ArentFox Schiff,163,Dedicated priority Support,1,2500,2500,Annually,09/15/2020,09/14/2023,,,Active,Subscription,,,
10001043,,511,,,,ArentFox Schiff,169,e-Signature,1,0,0,Annually,09/15/2020,09/14/2023,,,Active,Subscription,,,
10001044,,511,,,,ArentFox Schiff,166,Software Updates,1,0,0,Annually,09/15/2020,09/14/2023,,,Active,Subscription,,,
10001045,,511,,,,ArentFox Schiff,167,Virtual Minute Book,1,0,0,Annually,09/15/2020,09/14/2023,,,Active,Subscription,,,
10001046,,512,,,,ARO Consulting Inc.,387,Professional Package Annual Subscription,1,19995,19995,Annually,01/31/2022,01/30/2025,,,Active,Subscription,,,
10001047,,512,,,,ARO Consulting Inc.,383,Recurring Discount: Subscription Package,1,0,-3999,Annually,01/31/2022,01/30/2025,,,Active,Subscription,,,
10001048,,512,,,,ARO Consulting Inc.,381,Per Entity Fee – Athennian Application - Up to 250,100,65,6500,Annually,01/31/2022,01/30/2025,,,Active,Subscription,,,
10001049,,513,,,,Asurion,527,Entity Management Package - Per Entity,106,75,7950,Annually,08/13/2021,08/12/2024,,,Active,Subscription,,,
10001050,,513,,,,Asurion,528,Scale Package,1,29995,29995,Annually,08/13/2021,08/12/2024,,,Active,Subscription,,,
10001051,,514,,,,"Atlas Technology Solutions, Inc.",169,e-Signature,1,0,0,Quarterly ,01/04/2021,01/03/2024,,,Active,Subscription,,,
10001052,,514,,,,"Atlas Technology Solutions, Inc.",383,Recurring Discount: Subscription Package,33,0,-206.25,Quarterly ,04/04/2022,01/03/2024,,,Active,Subscription,,,
10001053,,514,,,,"Atlas Technology Solutions, Inc.",367,Entity Management Platform Subscription,33,31.25,1031.25,Quarterly ,04/04/2022,01/03/2024,,,Active,Subscription,,,
10001054,,514,,,,"Atlas Technology Solutions, Inc.",367,Entity Management Platform Subscription,120,31.25,3750,Quarterly ,01/04/2021,01/03/2024,,,Active,Subscription,,,
10001055,,514,,,,"Atlas Technology Solutions, Inc.",162,Enterprise Integration Package,1,625,625,Quarterly ,01/04/2021,01/03/2024,,,Active,Subscription,,,
10001056,,514,,,,"Atlas Technology Solutions, Inc.",166,Software Updates,1,0,0,Quarterly ,01/04/2021,01/03/2024,,,Active,Subscription,,,
10001057,,514,,,,"Atlas Technology Solutions, Inc.",529,Recurring Discount: Entity Management Platform Subscription,120,0,-750,Quarterly ,01/04/2021,01/03/2024,,,Active,Subscription,,,
10001058,,514,,,,"Atlas Technology Solutions, Inc.",530,Recurring Discount: Enterprise Integration Package,1,0,-125,Quarterly ,01/04/2021,01/03/2024,,,Active,Subscription,,,
10001059,,514,,,,"Atlas Technology Solutions, Inc.",167,Virtual Minute Book,1,0,0,Quarterly ,01/04/2021,01/03/2024,,,Active,Subscription,,,
10001060,,515,,,,"ATN International, Inc.",387,Professional Package Annual Subscription,1,19995,19995,Annually,05/25/2022,05/24/2025,,,Active,Subscription,,,
10001061,,515,,,,"ATN International, Inc.",164,SSO Configuration,1,3500,3500,Annually,05/25/2022,05/24/2025,,,Active,Subscription,,,
10001062,,515,,,,"ATN International, Inc.",531,Per Entity Fee,145,75,10875,Annually,05/25/2022,05/24/2025,,,Active,Subscription,,,
10001063,,515,,,,"ATN International, Inc.",532,Discount: SSO,1,0,-3500,Annually,05/25/2022,05/24/2025,,,Active,Subscription,,,
10001064,,515,,,,"ATN International, Inc.",488,Discount: Registered Agent Sync,1,2500,2500,Annually,05/25/2022,05/24/2025,,,Active,Subscription,,,
10001065,,515,,,,"ATN International, Inc.",488,Discount: Registered Agent Sync,1,0,-2500,Annually,05/25/2022,05/24/2025,,,Active,Subscription,,,
10001066,,516,,,,AutoCanada Software Inc.,533,Per Entity Fee – Up to 300,300,55,16500,Annually,10/09/2021,10/08/2024,,,Active,Subscription,,,
10001067,,516,,,,AutoCanada Software Inc.,386,Enterprise Package Annual Subscription,1,37750,37750,Annually,10/09/2021,10/08/2024,,,Active,Subscription,,,
10001068,,517,,,,"Backpack Group, LLC",382,Per Entity Fee – Athennian Application - Up to 100,10,75,750,Annually,05/24/2022,05/23/2025,,,Active,Subscription,,,
10001069,,517,,,,"Backpack Group, LLC",387,Professional Package Annual Subscription,1,19995,19995,Annually,05/24/2022,05/23/2025,,,Active,Subscription,,,
10001070,,518,,,,Barack Ferrazzano Kirschbaum & Nagelberg,162,Enterprise Integration Package,1,3500,3500,Annually,08/28/2020,08/27/2023,,,Active,Subscription,,,
10001071,,518,,,,Barack Ferrazzano Kirschbaum & Nagelberg,163,Dedicated priority Support,1,2500,2500,Annually,08/28/2020,08/27/2023,,,Active,Subscription,,,
10001072,,518,,,,Barack Ferrazzano Kirschbaum & Nagelberg,534,"Entity Management Platform Subscription - Up to 3,000 Active Entity Records (AER)",1,12000,12000,Annually,08/28/2020,08/27/2023,,,Active,Subscription,,,
10001073,,518,,,,Barack Ferrazzano Kirschbaum & Nagelberg,169,e-Signature,1,0,0,Annually,08/28/2020,08/27/2023,,,Active,Subscription,,,
10001074,,518,,,,Barack Ferrazzano Kirschbaum & Nagelberg,166,Software Updates,1,0,0,Annually,08/28/2020,08/27/2023,,,Active,Subscription,,,
10001075,,518,,,,Barack Ferrazzano Kirschbaum & Nagelberg,167,Virtual Minute Book,1,0,0,Annually,08/28/2020,08/27/2023,,,Active,Subscription,,,
10001076,,519,,,,"Benevity, Inc.",167,Virtual Minute Book,1,0,0,Annually,02/11/2021,02/10/2024,,,Active,Subscription,,,
10001077,,519,,,,"Benevity, Inc.",162,Enterprise Integration Package,1,0,0,Annually,02/11/2021,02/10/2024,,,Active,Subscription,,,
10001078,,519,,,,"Benevity, Inc.",166,Software Updates,1,0,0,Annually,02/11/2021,02/10/2024,,,Active,Subscription,,,
10001079,,519,,,,"Benevity, Inc.",169,e-Signature,1,0,0,Annually,02/11/2021,02/10/2024,,,Active,Subscription,,,
10001080,,519,,,,"Benevity, Inc.",164,SSO Configuration,1,2000,2000,Annually,02/11/2021,02/10/2024,,,Active,Subscription,,,
10001081,,519,,,,"Benevity, Inc.",535,Entity Management Platform Subscription - up to 20 entities,1,10000,10000,Annually,02/11/2021,02/10/2024,,,Active,Subscription,,,
10001082,,519,,,,"Benevity, Inc.",532,Discount: SSO,1,0,-1000,Annually,02/11/2021,02/10/2024,,,Active,Subscription,,,
10001083,,520,,,,"Bernstein, Shur, Sawyer & Nelson, P.?A?.",164,SSO Configuration,1,1500,1500,Annually,10/06/2020,10/05/2023,,,Active,Subscription,,,
10001084,,520,,,,"Bernstein, Shur, Sawyer & Nelson, P.?A?.",165,Custom Branding,1,1500,1500,Annually,10/06/2020,10/05/2023,,,Active,Subscription,,,
10001085,,520,,,,"Bernstein, Shur, Sawyer & Nelson, P.?A?.",166,Software Updates,1,0,0,Annually,10/06/2020,10/05/2023,,,Active,Subscription,,,
10001086,,520,,,,"Bernstein, Shur, Sawyer & Nelson, P.?A?.",167,Virtual Minute Book,1,0,0,Annually,10/06/2020,10/05/2023,,,Active,Subscription,,,
10001087,,520,,,,"Bernstein, Shur, Sawyer & Nelson, P.?A?.",536,Entity Management platform subscription - up to 2000 entities,1,26000,26000,Annually,10/06/2020,10/05/2023,,,Active,Subscription,,,
10001088,,520,,,,"Bernstein, Shur, Sawyer & Nelson, P.?A?.",532,Discount: SSO,1,0,-1500,Annually,10/06/2020,10/05/2023,,,Active,Subscription,,,
10001089,,520,,,,"Bernstein, Shur, Sawyer & Nelson, P.?A?.",163,Dedicated priority Support,1,5000,5000,Annually,10/06/2020,10/05/2023,,,Active,Subscription,,,
10001090,,521,,,,Black Helterline LLP,383,Recurring Discount: Subscription Package,1,0,-225,Quarterly ,04/30/2022,04/29/2023,,,Active,Subscription,,,
10001091,,521,,,,Black Helterline LLP,367,Entity Management Platform Subscription,1,2250,2250,Quarterly ,04/30/2022,04/29/2023,,,Active,Subscription,,,
10001092,,521,,,,Black Helterline LLP,367,Entity Management Platform Subscription,1,225,225,Quarterly ,04/30/2022,04/29/2023,,,Active,Subscription,,,
10001093,,522,,,,"Block, Inc.",382,Per Entity Fee – Athennian Application - Up to 100,101,60,6060,Annually,09/23/2021,09/22/2024,,,Active,Subscription,,,
10001094,,522,,,,"Block, Inc.",386,Enterprise Package Annual Subscription,1,29995,29995,Annually,09/23/2021,09/22/2024,,,Active,Subscription,,,
10001095,,523,,,,Bosa Properties,169,e-Signature,1,0,0,Annually,11/13/2019,11/12/2022,,,Active,Subscription,,,
10001096,,523,,,,Bosa Properties,537,Dedicated Priority Product Support & SLA Guarantees:,1,3000,3000,Annually,11/13/2019,11/12/2022,,,Active,Subscription,,,
10001097,,523,,,,Bosa Properties,162,Enterprise Integration Package,1,3000,3000,Annually,11/13/2019,11/12/2022,,,Active,Subscription,,,
10001098,,523,,,,Bosa Properties,538,Entity Management platform subscription - up to 500 entities,1,12000,12000,Annually,11/13/2019,11/12/2022,,,Active,Subscription,,,
10001099,,523,,,,Bosa Properties,166,Software Updates,1,0,0,Annually,11/13/2019,11/12/2022,,,Active,Subscription,,,
10001100,,523,,,,Bosa Properties,167,Virtual Minute Book,1,0,0,Annually,11/13/2019,11/12/2022,,,Active,Subscription,,,
10001101,,524,,,,Bose McKinney & Evans,163,Dedicated priority Support,1,1250,1250,Quarterly ,03/25/2022,03/24/2023,,,Active,Subscription,,,
10001102,,524,,,,Bose McKinney & Evans,367,Entity Management Platform Subscription,234,6.25,1462.5,Quarterly ,03/25/2022,03/24/2023,,,Active,Subscription,,,
10001103,,524,,,,Bose McKinney & Evans,367,Entity Management Platform Subscription,1,3250,3250,Quarterly ,03/25/2022,03/24/2023,,,Active,Subscription,,,
10001104,,524,,,,Bose McKinney & Evans,367,Entity Management Platform Subscription,31,6.25,193.75,Quarterly ,06/25/2022,03/24/2023,,,Active,Subscription,,,
10001105,,525,,,,Bottomline Technologies,539,Data Residency - United States,1,0,0,Annually,03/01/2021,02/29/2024,,,Active,Subscription,,,
10001106,,525,,,,Bottomline Technologies,376,Automate Package,40,650,26000,Annually,03/01/2021,02/29/2024,,,Active,Subscription,,,
10001107,,526,,,,Bowditch & Dewey,169,e-Signature,1,0,0,Annually,03/20/2020,03/19/2023,,,Active,Subscription,,,
10001108,,526,,,,Bowditch & Dewey,386,Enterprise Package Annual Subscription,1,2000,2000,Annually,03/20/2020,03/19/2023,,,Active,Subscription,,,
10001109,,526,,,,Bowditch & Dewey,540,Entity Management Platform Subscription - up to 1000 entities + 100 complementary,1,6500,6500,Annually,03/20/2020,03/19/2023,,,Active,Subscription,,,
10001110,,526,,,,Bowditch & Dewey,166,Software Updates,1,0,0,Annually,03/20/2020,03/19/2023,,,Active,Subscription,,,
10001111,,526,,,,Bowditch & Dewey,167,Virtual Minute Book,1,0,0,Annually,03/20/2020,03/19/2023,,,Active,Subscription,,,
10001112,,527,,,,BOYNECLARKE LLP,383,Recurring Discount: Subscription Package,1,0,-7498.75,Quarterly ,06/29/2022,06/28/2025,,,Active,Subscription,,,
10001113,,527,,,,BOYNECLARKE LLP,386,Enterprise Package Annual Subscription,1,7498.75,7498.75,Quarterly ,06/29/2022,06/28/2025,,,Active,Subscription,,,
10001114,,527,,,,BOYNECLARKE LLP,378,Per Entity Fee – Athennian Application - 1000+,5001,8.75,43758.75,Quarterly ,06/29/2022,06/28/2025,,,Active,Subscription,,,
10001115,,528,,,,Brodlieb Legal,169,e-Signature,1,0,0,Annually,11/17/2020,11/16/2023,,,Active,Subscription,,,
10001116,,528,,,,Brodlieb Legal,166,Software Updates,1,0,0,Annually,11/17/2020,11/16/2023,,,Active,Subscription,,,
10001117,,528,,,,Brodlieb Legal,162,Enterprise Integration Package,1,1500,1500,Annually,11/17/2020,11/16/2023,,,Active,Subscription,,,
10001118,,528,,,,Brodlieb Legal,367,Entity Management Platform Subscription,500,25,12500,Annually,11/17/2020,11/16/2023,,,Active,Subscription,,,
10001119,,528,,,,Brodlieb Legal,167,Virtual Minute Book,1,0,0,Annually,11/17/2020,11/16/2023,,,Active,Subscription,,,
10001120,,528,,,,Brodlieb Legal,383,Recurring Discount: Subscription Package,1,0,-500,Annually,11/17/2020,11/16/2023,,,Active,Subscription,,,
10001121,,529,,,,Brooks Professional Corporation,383,Recurring Discount: Subscription Package,1,0,-25000,Annually,12/06/2021,12/05/2023,,,Active,Subscription,,,
10001122,,529,,,,Brooks Professional Corporation,387,Professional Package Annual Subscription,1,25000,25000,Annually,12/06/2021,12/05/2023,,,Active,Subscription,,,
10001123,,529,,,,Brooks Professional Corporation,541,Per Entity Fee – 250+,250,120,30000,Annually,12/06/2021,12/05/2023,,,Active,Subscription,,,
10001124,,701,,,,Buc-ee�s Ltd.,386,Enterprise Package Annual Subscription,1,29995,29995,Annually,10/14/2021,10/13/2024,,,Active,Subscription,,,
10001125,,701,,,,Buc-ee�s Ltd.,539,Data Residency - United States,1,0,0,Annually,10/14/2021,10/13/2024,,,Active,Subscription,,,
10001126,,701,,,,Buc-ee�s Ltd.,382,Per Entity Fee – Athennian Application - Up to 100,45,100,4500,Annually,10/14/2021,10/13/2024,,,Active,Subscription,,,
10001127,,701,,,,Buc-ee�s Ltd.,383,Recurring Discount: Subscription Package,1,0,-3875,Annually,10/14/2021,10/13/2024,,,Active,Subscription,,,
10001128,,701,,,,Buc-ee�s Ltd.,521,Recurring Discount: Entity Fee,45,0,-1125,Annually,10/14/2021,10/13/2024,,,Active,Subscription,,,
10001129,,701,,,,Buc-ee�s Ltd.,521,Recurring Discount: Entity Fee,30,0,-750,Annually,02/14/2022,10/13/2024,,,Active,Subscription,,,
10001130,,701,,,,Buc-ee�s Ltd.,382,Per Entity Fee – Athennian Application - Up to 100,30,100,3000,Annually,02/14/2022,10/13/2024,,,Active,Subscription,,,
10001131,,530,,,,Buchalter PC,367,Entity Management Platform Subscription,1,28000,28000,Annually,05/12/2022,05/11/2023,,,Active,Subscription,,,
10001132,,530,,,,Buchalter PC,162,Enterprise Integration Package,1,3500,3500,Annually,05/12/2022,05/11/2023,,,Active,Subscription,,,
10001133,,530,,,,Buchalter PC,508,Per Entity Fee - iManage Integration,897,5,4485,Annually,05/12/2022,05/11/2023,,,Active,Subscription,,,
10001134,,530,,,,Buchalter PC,507,Athennian + iManage Integration,1,2000,2000,Annually,05/12/2022,05/11/2023,,,Active,Subscription,,,
10001135,,530,,,,Buchalter PC,163,Dedicated priority Support,1,2500,2500,Annually,05/12/2022,05/11/2023,,,Active,Subscription,,,
10001136,,531,,,,"Buckingham, Doolittle & Burroughs",162,Enterprise Integration Package,1,1000,1000,Annually,07/16/2021,07/15/2022,,,Active,Subscription,,,
10001137,,531,,,,"Buckingham, Doolittle & Burroughs",367,Entity Management Platform Subscription,1,8000,8000,Annually,07/16/2021,07/15/2022,,,Active,Subscription,,,
10001138,,531,,,,"Buckingham, Doolittle & Burroughs",539,Data Residency - United States,1,0,0,Annually,07/16/2021,07/15/2022,,,Active,Subscription,,,
10001139,,532,,,,Burns & Levinson,530,Recurring Discount: Enterprise Integration Package,1,0,-291.6666667,Monthly,09/28/2020,09/27/2023,,,Active,Subscription,,,
10001140,,532,,,,Burns & Levinson,367,Entity Management Platform Subscription,1,416.6666667,416.6666667,Monthly,09/28/2020,09/27/2023,,,Active,Subscription,,,
10001141,,532,,,,Burns & Levinson,162,Enterprise Integration Package,1,291.6666667,291.6666667,Monthly,09/28/2020,09/27/2023,,,Active,Subscription,,,
10001142,,532,,,,Burns & Levinson,169,e-Signature,1,0,0,Monthly,09/28/2020,09/27/2023,,,Active,Subscription,,,
10001143,,532,,,,Burns & Levinson,167,Virtual Minute Book,1,0,0,Monthly,09/28/2020,09/27/2023,,,Active,Subscription,,,
10001144,,532,,,,Burns & Levinson,166,Software Updates,1,0,0,Monthly,09/28/2020,09/27/2023,,,Active,Subscription,,,
10001145,,533,,,,Canderel Management Inc.,386,Enterprise Package Annual Subscription,1,29995,29995,Annually,09/03/2021,09/02/2024,,,Active,Subscription,,,
10001146,,533,,,,Canderel Management Inc.,380,Per Entity Fee – Athennian Application - Up to 500,300,45,13500,Annually,09/03/2021,09/02/2024,,,Active,Subscription,,,
10001147,,533,,,,Canderel Management Inc.,383,Recurring Discount: Subscription Package,1,0,-2000,Annually,09/03/2021,09/02/2024,,,Active,Subscription,,,
10001148,,534,,,,Canopy Growth Corporation,382,Per Entity Fee – Athennian Application - Up to 100,75,75,5625,Annually,04/17/2022,04/16/2023,,,Active,Subscription,,,
10001149,,534,,,,Canopy Growth Corporation,162,Enterprise Integration Package,1,11216.4,11216.4,Annually,04/17/2022,04/16/2023,,,Active,Subscription,,,
10001150,,534,,,,Canopy Growth Corporation,387,Professional Package Annual Subscription,1,19995,19995,Annually,04/17/2022,04/16/2023,,,Active,Subscription,,,
10001151,,534,,,,Canopy Growth Corporation,162,Enterprise Integration Package,1,0,-11216.4,Annually,04/17/2022,04/16/2023,,,Active,Subscription,,,
10001152,,534,,,,Canopy Growth Corporation,385,One Time Discount - Package,1,0,-10000,Annually,04/17/2022,04/16/2023,,,Active,Subscription,,,
10001153,,535,,,,Caravel Law Professional Corporation,169,e-Signature,1,0,0,Annually,05/25/2021,05/24/2024,,,Active,Subscription,,,
10001154,,535,,,,Caravel Law Professional Corporation,367,Entity Management Platform Subscription,1,1500,1500,Annually,05/25/2022,05/24/2024,,,Active,Subscription,,,
10001155,,535,,,,Caravel Law Professional Corporation,162,Enterprise Integration Package,1,1500,1500,Annually,05/25/2021,05/24/2024,,,Active,Subscription,,,
10001156,,535,,,,Caravel Law Professional Corporation,607,Entity Management Platform Subscription (up to 25 AERs),1,2500,2500,Annually,05/25/2021,05/24/2024,,,Active,Subscription,,,
10001157,,535,,,,Caravel Law Professional Corporation,166,Software Updates,1,0,0,Annually,05/25/2021,05/24/2024,,,Active,Subscription,,,
10001158,,535,,,,Caravel Law Professional Corporation,167,Virtual Minute Book,1,0,0,Annually,05/25/2021,05/24/2024,,,Active,Subscription,,,
10001159,,536,,,,Carneylaw,367,Entity Management Platform Subscription,1,7500,7500,Annually,07/30/2021,07/29/2022,,,Active,Subscription,,,
10001160,,536,,,,Carneylaw,162,Enterprise Integration Package,1,2000,2000,Annually,07/30/2021,07/29/2022,,,Active,Subscription,,,
10001161,,536,,,,Carneylaw,383,Recurring Discount: Subscription Package,1,0,-2000,Annually,07/30/2021,07/29/2022,,,Active,Subscription,,,
10001162,,537,,,,CAS Corporate Governance Services Inc.,543,First year partner discount,1,0,-750,Annually,06/11/2020,06/10/2023,,,Active,Subscription,,,
10001163,,537,,,,CAS Corporate Governance Services Inc.,162,Enterprise Integration Package,1,500,500,Annually,06/11/2020,06/10/2023,,,Active,Subscription,,,
10001164,,537,,,,CAS Corporate Governance Services Inc.,162,Enterprise Integration Package,1,,-500,Annually,06/11/2021,06/10/2023,,,Active,Subscription,,,
10001165,,537,,,,CAS Corporate Governance Services Inc.,367,Entity Management Platform Subscription,200,,-3000,Annually,06/11/2021,06/10/2023,,,Active,Subscription,,,
10001166,,537,,,,CAS Corporate Governance Services Inc.,169,e-Signature,1,0,0,Annually,06/11/2020,06/10/2023,,,Active,Subscription,,,
10001167,,537,,,,CAS Corporate Governance Services Inc.,167,Virtual Minute Book,1,0,0,Annually,06/11/2020,06/10/2023,,,Active,Subscription,,,
10001168,,537,,,,CAS Corporate Governance Services Inc.,367,Entity Management Platform Subscription,200,15,3000,Annually,06/11/2020,06/10/2023,,,Active,Subscription,,,
10001169,,537,,,,CAS Corporate Governance Services Inc.,385,One Time Discount - Package,1,750,750,Annually,06/11/2021,06/10/2023,,,Active,Subscription,,,
10001170,,537,,,,CAS Corporate Governance Services Inc.,166,Software Updates,1,0,0,Annually,06/11/2020,06/10/2023,,,Active,Subscription,,,
10001171,,538,,,,Cassels Brock & Blackwell LLP,167,Virtual Minute Book,5000,3.333333333,16666.66667,Monthly,07/18/2019,07/17/2022,,,Active,Subscription,,,
10001172,,539,,,,Chilad Corporate Services Ltd,367,Entity Management Platform Subscription,180,50,9000,Annually,11/30/2020,11/29/2023,,,Active,Subscription,,,
10001173,,539,,,,Chilad Corporate Services Ltd,383,Recurring Discount: Subscription Package,180,0,-1800,Annually,11/30/2020,11/29/2023,,,Active,Subscription,,,
10001174,,539,,,,Chilad Corporate Services Ltd,162,Enterprise Integration Package,1,1000,1000,Annually,11/30/2020,11/29/2023,,,Active,Subscription,,,
10001175,,540,,,,Chitiz Pathak LLP,387,Professional Package Annual Subscription,1,12338.5,12338.5,Semi-Annually,06/30/2022,06/29/2025,,,Active,Subscription,,,
10001176,,540,,,,Chitiz Pathak LLP,382,Per Entity Fee – Athennian Application - Up to 100,100,46.5,4650,Semi-Annually,06/30/2022,06/29/2025,,,Active,Subscription,,,
10001177,,541,,,,Choate Hall & Stewart,544,"Entity Management Platform Subscription - up to 2,300 Active Entities (""AERs"")",1,8886,8886,Annually,08/25/2020,08/24/2023,,,Active,Subscription,,,
10001178,,541,,,,Choate Hall & Stewart,162,Enterprise Integration Package,1,1500,1500,Annually,08/25/2020,08/24/2023,,,Active,Subscription,,,
10001179,,542,,,,Clark Hill,545,Entity Management Platform Subscription (250 - 350 active entities),1,15750,15750,Annually,08/06/2020,08/05/2023,,,Active,Subscription,,,
